reference,score,title,seed,url
DEFE 4/34/118,2,Minutes of Meeting Number 118 of 1950. 1) Middle East Short Term Strategy. 2) Exchange...,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509878
DEFE 4/34/122,1,Minutes of Meeting Number 122 of 1950. 1) Defence Discussions. 2) Defence Policy and Global...,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509882
DEFE 4/34/124,1,Minutes of Meeting Number 124 of 1950. 1) Importance of Berlin. 2) Maritime Air Defence...,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509884
DEFE 4/34/128,1,Minutes of Meeting Number 128 of 1950. 1) Korea - Information for Commonwealth countries. 2)...,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509888
DEFE 4/34/127,1,Minutes of Meeting Number 127 of 1950. United Kingdom Forces for Korea.,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509887
DEFE 4/34/129,1,Minutes of Meeting Number 129 of 1950. United Kingdom Forces for Korea.,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509889
DEFE 4/34/123,1,Minutes of Meeting Number 123 of 1950. 1) North Atlantic Region Short Term Plan. 2)...,DEFE 4/33,https://discovery.nationalarchives.gov.uk/details/r/C13509883
DEFE 4/37/175,1,Minutes of Meeting Number 175 of 1950. 1) Tank requirements and production. 2) Guarding of...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509935
DEFE 4/37/180,1,Minutes of Meeting Number 180 of 1950. 1) Meeting of US/UK Chiefs of Staff in...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509940
DEFE 4/37/176,1,Minutes of Meeting Number 176 of 1950. 1) Chinese interference in Korea. 2) Arming of...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509936
DEFE 4/37/177,1,Minutes of Meeting Number 177 of 1950. 1) Participation of Germany in the defence of...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509937
DEFE 4/37/179,1,Minutes of Meeting Number 179 of 1950. 1) Organisation of Civil and Service Command for...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509939
DEFE 4/37/183,1,Minutes of Meeting Number 183 of 1950. 1) Development of Anti-tank weapons for 1953/54. 2)...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509943
DEFE 4/37/171,1,Minutes of Meeting Number 171 of 1950. 1) Present situation in Malaya. 2) The defence...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509931
DEFE 4/37/182,1,Minutes of Meeting Number 182 of 1950. 1) Korea-future action by United Nations Forces. 2)...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509942
DEFE 4/37/178,1,Minutes of Meeting Number 178 of 1950. Chinese intervention in Korea.,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509938
DEFE 4/37/185,1,Minutes of Meeting Number 185 of 1950. 1) Proposed despatch of a British Military Mission...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509945
DEFE 4/37/173,1,Minutes of Meeting Number 173 of 1950. 1) Situation in French Indo-China. 2) Anglo-French Talks...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509933
